linear_time,hierarchical_time,hierarchical_recall,widths,dimensions,n,frac
0.011442947387695312,0.013092565536499023,1.0,0.5,64,10000,0.5
0.011133909225463867,0.011198663711547851,1.0,0.25,64,10000,0.25
0.011046266555786133,0.006711721420288086,1.0,0.125,64,10000,0.125
0.010915708541870118,0.0032642841339111327,1.0,0.0625,64,10000,0.0625
0.010901165008544923,0.001885700225830078,1.0,0.03125,64,10000,0.03125
0.014856338500976562,0.0013916492462158203,1.0,0.015625,64,10000,0.015625
0.01616811752319336,0.0010958671569824218,1.0,0.0078125,64,10000,0.0078125
0.010956430435180664,0.0008237361907958984,1.0,0.00390625,64,10000,0.00390625
0.010946178436279297,0.0009259223937988281,1.0,0.001953125,64,10000,0.001953125
0.011806631088256836,0.014305639266967773,1.0,0.5,128,10000,0.5
0.012257575988769531,0.012807703018188477,1.0,0.25,128,10000,0.25
0.011847114562988282,0.0077265739440917965,1.0,0.125,128,10000,0.125
0.011881685256958008,0.0054893016815185545,1.0,0.0625,128,10000,0.0625
0.011849451065063476,0.0035662174224853514,1.0,0.03125,128,10000,0.03125
0.011726665496826171,0.002583885192871094,1.0,0.015625,128,10000,0.015625
0.011657285690307616,0.0019116878509521484,1.0,0.0078125,128,10000,0.0078125
0.012336826324462891,0.0015369415283203124,1.0,0.00390625,128,10000,0.00390625
0.012605571746826172,0.0024554252624511717,1.0,0.001953125,128,10000,0.001953125
