linear_time,hierarchical_time,hierarchical_recall,widths,dimensions,n,frac
0.012023258209228515,0.01207904815673828,1.0,0.5,128,10000,0.5
0.01194005012512207,0.011425018310546875,1.0,0.25,128,10000,0.25
0.012081718444824219,0.008634090423583984,1.0,0.125,128,10000,0.125
0.01569499969482422,0.0042918682098388675,1.0,0.0625,128,10000,0.0625
0.011918258666992188,0.003160524368286133,1.0,0.03125,128,10000,0.03125
0.011932897567749023,0.0021439075469970705,1.0,0.015625,128,10000,0.015625
0.01190357208251953,0.001852560043334961,1.0,0.0078125,128,10000,0.0078125
0.011923265457153321,0.0014827251434326172,1.0,0.00390625,128,10000,0.00390625
0.016398096084594728,0.0007512569427490234,1.0,0.001953125,128,10000,0.001953125
0.020496225357055663,0.024751043319702147,1.0,0.5,128,20000,0.5
0.02154431343078613,0.022860240936279298,1.0,0.25,128,20000,0.25
0.020210742950439453,0.012438392639160157,1.0,0.125,128,20000,0.125
0.019829273223876953,0.009188985824584961,1.0,0.0625,128,20000,0.0625
0.02128591537475586,0.004299259185791016,1.0,0.03125,128,20000,0.03125
0.020669937133789062,0.0035359859466552734,1.0,0.015625,128,20000,0.015625
0.020432043075561523,0.002218961715698242,1.0,0.0078125,128,20000,0.0078125
0.020238447189331054,0.001956605911254883,1.0,0.00390625,128,20000,0.00390625
0.023968076705932616,0.001580667495727539,1.0,0.001953125,128,20000,0.001953125
