linear_time,hierarchical_time,hierarchical_recall,kdtree_time,kdtree_recall,rtree_time,rtree_recall,widths,dimensions,n,frac
0.006664705276489258,0.007661247253417968,0.9971994398879775,0.13378119468688965,1.0,0.14355745315551757,0.9371874374874976,0.5,4,10000,0.5
0.006730890274047852,0.0041162967681884766,1.0,0.1045081615447998,1.0,0.08228883743286133,0.8548,0.25,4,10000,0.25
0.006648206710815429,0.0020054340362548827,1.0,0.1127769947052002,1.0,0.04159135818481445,0.8310648518815053,0.125,4,10000,0.125
0.0065648555755615234,0.0009780406951904296,1.0,0.09312539100646973,1.0,0.02146568298339844,0.5904,0.0625,4,10000,0.0625
0.0072132587432861325,0.0005856990814208984,1.0,0.07142939567565917,1.0,0.009459877014160156,0.5273311897106109,0.03125,4,10000,0.03125
0.0065689563751220705,0.00041570663452148435,1.0,0.035898447036743164,1.0,0.006426286697387695,0.6538461538461539,0.015625,4,10000,0.015625
0.006580066680908203,0.00019521713256835936,1.0,0.08560171127319335,1.0,0.0038320064544677735,0.33766233766233766,0.0078125,4,10000,0.0078125
0.006591701507568359,0.00012845993041992186,1.0,0.11078062057495117,1.0,0.0012690067291259766,0.10256410256410256,0.00390625,4,10000,0.00390625
0.006566333770751953,9.617805480957031e-05,1.0,0.08418140411376954,1.0,0.0008981704711914062,0.16666666666666666,0.001953125,4,10000,0.001953125
0.013637065887451172,0.014625978469848634,0.9986001399860014,0.21239938735961914,1.0,0.2679488182067871,0.9116088391160884,0.5,4,20000,0.5
0.013388347625732423,0.007942390441894532,0.9978,0.22906651496887206,1.0,0.14162845611572267,0.7654,0.25,4,20000,0.25
0.013389348983764648,0.0037139415740966796,1.0,0.18415336608886718,1.0,0.07280311584472657,0.7747098839535814,0.125,4,20000,0.125
0.013364648818969727,0.002449178695678711,1.0,0.06550264358520508,1.0,0.042787599563598636,0.6776,0.0625,4,20000,0.0625
0.013401317596435546,0.0011803150177001954,1.0,0.12136693000793457,1.0,0.013815212249755859,0.3488,0.03125,4,20000,0.03125
0.0133880615234375,0.0005253314971923828,1.0,0.2283720016479492,1.0,0.005157613754272461,0.10576923076923077,0.015625,4,20000,0.015625
0.013278770446777343,0.0003235340118408203,1.0,0.19425764083862304,1.0,0.004995393753051758,0.1870967741935484,0.0078125,4,20000,0.0078125
0.01321272850036621,0.0002208232879638672,1.0,0.07326340675354004,1.0,0.0027120113372802734,0.15384615384615385,0.00390625,4,20000,0.00390625
0.0132781982421875,0.00012998580932617189,1.0,0.2259218215942383,1.0,2.63214111328125e-05,0.0,0.001953125,4,20000,0.001953125
