our_time,exhaustive_time,correct,k,n,dim
0.0006744861602783203,0.0002636432647705078,0,5000,10000,4
0.0002813816070556641,0.0002602577209472656,0,2500,10000,4
0.0001922607421875,0.00026912689208984374,0,1250,10000,4
0.00012063980102539062,0.0002574443817138672,0,625,10000,4
0.00012054443359375,0.0002594470977783203,0,312,10000,4
0.00012011528015136719,0.0002572059631347656,0,156,10000,4
0.0017168521881103516,0.0017954349517822266,0,25000,50000,4
0.0015875339508056641,0.00176849365234375,0,12500,50000,4
0.001205587387084961,0.0017694950103759766,0,6250,50000,4
0.0009354591369628906,0.0017697334289550782,0,3125,50000,4
0.0009121894836425781,0.001766538619995117,0,1562,50000,4
0.0010027885437011719,0.001769685745239258,0,781,50000,4
