linear_time,hierarchical_time,hierarchical_recall,widths,dimensions,n,frac
0.007518100738525391,0.010333728790283204,1.0,0.5,16,10000,0.5
0.007496309280395508,0.008104515075683594,1.0,0.25,16,10000,0.25
0.008124446868896485,0.0047912120819091795,1.0,0.125,16,10000,0.125
0.00760354995727539,0.0019782543182373046,1.0,0.0625,16,10000,0.0625
0.007210874557495117,0.001346445083618164,1.0,0.03125,16,10000,0.03125
0.007506370544433594,0.0005822181701660156,1.0,0.015625,16,10000,0.015625
0.007378482818603515,0.0004817008972167969,1.0,0.0078125,16,10000,0.0078125
0.007437324523925782,0.0003561973571777344,1.0,0.00390625,16,10000,0.00390625
0.00744171142578125,0.0002730369567871094,1.0,0.001953125,16,10000,0.001953125
0.007504940032958984,0.012243938446044923,1.0,0.5,32,10000,0.5
0.007512807846069336,0.011153602600097656,1.0,0.25,32,10000,0.25
0.007462930679321289,0.00621180534362793,1.0,0.125,32,10000,0.125
0.007438182830810547,0.003041696548461914,1.0,0.0625,32,10000,0.0625
0.007411527633666992,0.001598358154296875,1.0,0.03125,32,10000,0.03125
0.007272863388061523,0.0009984493255615235,1.0,0.015625,32,10000,0.015625
0.007308769226074219,0.0007269859313964843,1.0,0.0078125,32,10000,0.0078125
0.007305431365966797,0.0005676746368408203,1.0,0.00390625,32,10000,0.00390625
0.007359886169433593,0.0004688262939453125,1.0,0.001953125,32,10000,0.001953125
