our_time,linear_time,our_recall,n_points,dimension
0.0003609657287597656,0.0007009506225585938,1.0,1000,2
8.797645568847656e-05,0.0008788108825683594,1.0,1000,2
0.0008075237274169922,0.0007071495056152344,1.0,1000,2
0.00041985511779785156,0.0007932186126708984,1.0,1000,2
0.0004668235778808594,0.00069427490234375,1.0,1000,2
8.58306884765625e-05,0.0009057521820068359,1.0,1000,2
7.390975952148438e-05,0.0006878376007080078,1.0,1000,2
0.00036406517028808594,0.0008685588836669922,1.0,1000,2
0.0006771087646484375,0.0006954669952392578,1.0,1000,2
7.390975952148438e-05,0.0008447170257568359,1.0,1000,2
0.0007128715515136719,0.0011913776397705078,1.0,1500,2
0.00015687942504882812,0.0011858940124511719,1.0,1500,2
0.00014448165893554688,0.0012316703796386719,1.0,1500,2
0.00016117095947265625,0.0011837482452392578,1.0,1500,2
0.0008628368377685547,0.001188516616821289,1.0,1500,2
0.00135040283203125,0.0011951923370361328,1.0,1500,2
0.0008513927459716797,0.0012011528015136719,1.0,1500,2
0.0009691715240478516,0.0012025833129882812,1.0,1500,2
0.0001361370086669922,0.0011913776397705078,1.0,1500,2
0.0001220703125,0.0011966228485107422,1.0,1500,2
0.0020952224731445312,0.0015423297882080078,1.0,2000,2
0.00019359588623046875,0.0015232563018798828,1.0,2000,2
0.0001380443572998047,0.0015010833740234375,1.0,2000,2
0.0014107227325439453,0.001573324203491211,1.0,2000,2
0.0001366138458251953,0.0015146732330322266,1.0,2000,2
0.0008962154388427734,0.001522064208984375,1.0,2000,2
0.00011563301086425781,0.0015158653259277344,1.0,2000,2
0.00014352798461914062,0.0014715194702148438,1.0,2000,2
0.0008795261383056641,0.0015940666198730469,1.0,2000,2
0.0020024776458740234,0.0015840530395507812,1.0,2000,2
0.00015354156494140625,0.0019159317016601562,1.0,2500,2
0.0001533031463623047,0.0018970966339111328,1.0,2500,2
0.0011758804321289062,0.0019106864929199219,1.0,2500,2
0.0002071857452392578,0.0019178390502929688,1.0,2500,2
0.000148773193359375,0.0018894672393798828,1.0,2500,2
0.00015211105346679688,0.0018985271453857422,1.0,2500,2
0.0020623207092285156,0.0019297599792480469,1.0,2500,2
0.00017595291137695312,0.0018739700317382812,1.0,2500,2
0.0014362335205078125,0.0019202232360839844,1.0,2500,2
0.002240896224975586,0.001943349838256836,1.0,2500,2
0.00014591217041015625,0.0022470951080322266,1.0,3000,2
0.0016562938690185547,0.002278566360473633,1.0,3000,2
0.0017848014831542969,0.0022585391998291016,1.0,3000,2
0.00016164779663085938,0.0022737979888916016,1.0,3000,2
0.0021893978118896484,0.0023152828216552734,1.0,3000,2
0.00016808509826660156,0.0022568702697753906,1.0,3000,2
0.002597808837890625,0.0022726058959960938,1.0,3000,2
0.00015234947204589844,0.0022881031036376953,1.0,3000,2
0.00020241737365722656,0.002270221710205078,1.0,3000,2
0.001413583755493164,0.0022695064544677734,1.0,3000,2
0.003435850143432617,0.002658367156982422,1.0,3500,2
0.00017905235290527344,0.002593517303466797,1.0,3500,2
