n,dim,degree,epsnet_size_ratio,output_size,random_recall,theta_recall,knn_recall,linear_recall,random_time,theta_time,knn_time,linear_time
1000,4,16,0.0625,0.125,1.0,,1.0,1.0,0.0015475749969482422,,0.0008800029754638672,0.001157999038696289
1000,4,16,0.0625,0.0078125,0.0,,0.0,1.0,0.00010013580322265625,,7.915496826171875e-05,0.0011181831359863281
1000,4,16,0.0078125,0.125,0.984,,1.0,1.0,0.0014531612396240234,,0.0007638931274414062,0.0011408329010009766
1000,4,16,0.0078125,0.0078125,0.0,,0.0,1.0,2.9087066650390625e-05,,1.1444091796875e-05,0.001119375228881836
1000,4,32,0.0625,0.125,1.0,,1.0,1.0,0.0016748905181884766,,0.0009846687316894531,0.001123666763305664
1000,4,32,0.0625,0.0078125,0.0,,0.8571428571428571,1.0,9.989738464355469e-05,,0.00021409988403320312,0.0011415481567382812
1000,4,32,0.0078125,0.125,0.0,,0.0,1.0,2.7894973754882812e-05,,1.0967254638671875e-05,0.0011403560638427734
1000,4,32,0.0078125,0.0078125,0.0,,0.0,1.0,2.9325485229492188e-05,,1.0251998901367188e-05,0.0011110305786132812
1000,4,64,0.0625,0.125,1.0,,1.0,1.0,0.001975536346435547,,0.0015974044799804688,0.0011680126190185547
1000,4,64,0.0625,0.0078125,0.42857142857142855,,0.14285714285714285,1.0,0.0005593299865722656,,0.00022363662719726562,0.001127004623413086
1000,4,64,0.0078125,0.125,1.0,,1.0,1.0,0.0019495487213134766,,0.0014100074768066406,0.0011324882507324219
1000,4,64,0.0078125,0.0078125,0.0,,0.0,1.0,3.123283386230469e-05,,1.1682510375976562e-05,0.0011343955993652344
1000,8,16,0.0625,0.125,0.992,,0.968,1.0,0.0019779205322265625,,0.0015883445739746094,0.0015292167663574219
1000,8,16,0.0625,0.0078125,0.0,,0.14285714285714285,1.0,0.00012421607971191406,,0.00013685226440429688,0.0015254020690917969
1000,8,16,0.0078125,0.125,0.0,,0.0,1.0,3.147125244140625e-05,,1.3589859008789062e-05,0.001519918441772461
1000,8,16,0.0078125,0.0078125,0.0,,0.0,1.0,3.24249267578125e-05,,1.2874603271484375e-05,0.0015277862548828125
1000,8,32,0.0625,0.125,1.0,,1.0,1.0,0.0021369457244873047,,0.0018513202667236328,0.0015218257904052734
1000,8,32,0.0625,0.0078125,0.0,,0.0,1.0,0.0001227855682373047,,0.00010514259338378906,0.0015456676483154297
1000,8,32,0.0078125,0.125,0.0,,1.0,1.0,3.123283386230469e-05,,0.0016231536865234375,0.001522064208984375
1000,8,32,0.0078125,0.0078125,0.0,,0.0,1.0,3.075599670410156e-05,,1.4066696166992188e-05,0.0015139579772949219
1000,8,64,0.0625,0.125,1.0,,1.0,1.0,0.002412557601928711,,0.002062082290649414,0.0015435218811035156
1000,8,64,0.0625,0.0078125,0.5714285714285714,,0.0,1.0,0.000823974609375,,0.00010371208190917969,0.0015146732330322266
1000,8,64,0.0078125,0.125,1.0,,1.0,1.0,0.0023949146270751953,,0.002109050750732422,0.0016369819641113281
1000,8,64,0.0078125,0.0078125,0.0,,0.0,1.0,3.314018249511719e-05,,1.5020370483398438e-05,0.0015444755554199219
1000,16,16,0.0625,0.125,0.984,,0.976,1.0,0.0027883052825927734,,0.0019838809967041016,0.0023436546325683594
1000,16,16,0.0625,0.0078125,0.0,,0.0,1.0,0.00018668174743652344,,0.00015735626220703125,0.002346515655517578
1000,16,16,0.0078125,0.125,0.0,,0.008,1.0,3.6716461181640625e-05,,6.508827209472656e-05,0.0023369789123535156
1000,16,16,0.0078125,0.0078125,0.0,,0.0,1.0,4.100799560546875e-05,,1.8596649169921875e-05,0.0023429393768310547
1000,16,32,0.0625,0.125,1.0,,1.0,1.0,0.003037691116333008,,0.0029249191284179688,0.0023670196533203125
1000,16,32,0.0625,0.0078125,0.0,,0.0,1.0,0.00017905235290527344,,0.00015687942504882812,0.0023567676544189453
1000,16,32,0.0078125,0.125,0.0,,1.0,1.0,3.910064697265625e-05,,0.00261688232421875,0.002394437789916992
1000,16,32,0.0078125,0.0078125,0.0,,0.0,1.0,3.7670135498046875e-05,,2.0503997802734375e-05,0.0024039745330810547
1000,16,64,0.0625,0.125,1.0,,1.0,1.0,0.0033447742462158203,,0.003124237060546875,0.0024154186248779297
1000,16,64,0.0625,0.0078125,0.0,,0.0,1.0,0.00017881393432617188,,0.0001575946807861328,0.0023539066314697266
1000,16,64,0.0078125,0.125,1.0,,1.0,1.0,0.003200531005859375,,0.0029027462005615234,0.0023963451385498047
1000,16,64,0.0078125,0.0078125,0.0,,0.0,1.0,3.910064697265625e-05,,1.9788742065429688e-05,0.0024509429931640625
1000,32,16,0.0625,0.125,0.992,,0.968,1.0,0.004514217376708984,,0.004194974899291992,0.004004955291748047
1000,32,16,0.0625,0.0078125,0.3333333333333333,,0.0,1.0,0.0005590915679931641,,0.00026106834411621094,0.003991603851318359
1000,32,16,0.0078125,0.125,0.983739837398374,,0.9024390243902439,1.0,0.004311084747314453,,0.0037474632263183594,0.004001617431640625
1000,32,16,0.0078125,0.0078125,0.14285714285714285,,0.0,1.0,0.0001800060272216797,,3.147125244140625e-05,0.004013538360595703
1000,32,32,0.0625,0.125,1.0,,1.0,1.0,0.004793405532836914,,0.0048677921295166016,0.004011869430541992
1000,32,32,0.0625,0.0078125,0.8571428571428571,,0.0,1.0,0.0017123222351074219,,0.0002627372741699219,0.004040956497192383
1000,32,32,0.0078125,0.125,0.0,,1.0,1.0,5.030632019042969e-05,,0.004444599151611328,0.003979206085205078
